station_id,station_name,date,air_temp,average_wave_period,dominant_wave_period,wave_height
21418t,North Tokyo,2010-02-18,NA,NA,NA,39.963999999999764
21418t,North Tokyo,2010-02-19,NA,NA,NA,39.94595833333306
21418t,North Tokyo,2010-02-20,NA,NA,NA,39.931604166666425
21418t,North Tokyo,2010-02-21,NA,NA,NA,39.908260416666394
21418t,North Tokyo,2010-02-22,NA,NA,NA,39.898416666666385
21418t,North Tokyo,2010-02-23,NA,NA,NA,39.873760416666386
21418t,North Tokyo,2010-02-24,NA,NA,NA,39.86302083333305
21418t,North Tokyo,2010-02-25,NA,NA,NA,39.875583333333076
21418t,North Tokyo,2010-02-26,NA,NA,NA,39.89893749999968
21418t,North Tokyo,2010-02-27,NA,NA,NA,40.04021666666642
21418t,North Tokyo,2010-02-28,NA,NA,NA,40.16964552238779
21418t,North Tokyo,2010-03-01,NA,NA,NA,39.945989583333024
21418t,North Tokyo,2010-03-02,NA,NA,NA,39.9697395833331
21418t,North Tokyo,2010-03-03,NA,NA,NA,39.99597916666641
21418t,North Tokyo,2010-03-04,NA,NA,NA,40.00769791666642
21418t,North Tokyo,2010-03-05,NA,NA,NA,40.01199999999974
21418t,North Tokyo,2010-03-06,NA,NA,NA,40.010843749999786
21418t,North Tokyo,2010-03-07,NA,NA,NA,40.002562499999755
21418t,North Tokyo,2010-03-08,NA,NA,NA,39.995343749999684
21418t,North Tokyo,2010-03-09,NA,NA,NA,39.99339583333309
21418t,North Tokyo,2010-03-10,NA,NA,NA,39.957247191010936
21418t,North Tokyo,2010-03-11,NA,NA,NA,39.94925274725248
21418t,North Tokyo,2010-03-12,NA,NA,NA,39.96707291666641
21418t,North Tokyo,2010-03-13,NA,NA,NA,39.96703124999971
21418t,North Tokyo,2010-03-14,NA,NA,NA,39.96556249999978
21418t,North Tokyo,2010-03-15,NA,NA,NA,39.986770833333026
21418t,North Tokyo,2010-03-16,NA,NA,NA,40.00172916666646
21418t,North Tokyo,2010-03-17,NA,NA,NA,40.020468749999736
21418t,North Tokyo,2010-03-18,NA,NA,NA,40.01085416666637
21418t,North Tokyo,2010-03-19,NA,NA,NA,39.99045833333303
21418t,North Tokyo,2010-03-20,NA,NA,NA,39.96854166666639
21418t,North Tokyo,2010-03-21,NA,NA,NA,39.962531249999756
21418t,North Tokyo,2010-03-22,NA,NA,NA,39.95101041666636
21418t,North Tokyo,2010-03-23,NA,NA,NA,39.94588541666638
21418t,North Tokyo,2010-03-24,NA,NA,NA,39.931666666666395
21418t,North Tokyo,2010-03-25,NA,NA,NA,39.92893749999978
21418t,North Tokyo,2010-03-26,NA,NA,NA,39.930895833333096
21418t,North Tokyo,2010-03-27,NA,NA,NA,39.94606249999972
21418t,North Tokyo,2010-03-28,NA,NA,NA,39.98183333333305
21418t,North Tokyo,2010-03-29,NA,NA,NA,39.993416666666405
21418t,North Tokyo,2010-03-30,NA,NA,NA,39.991315217391026
21418t,North Tokyo,2010-03-31,NA,NA,NA,40.00856249999972
21418t,North Tokyo,2010-04-01,NA,NA,NA,40.00696874999974
21418t,North Tokyo,2010-04-02,NA,NA,NA,39.99931249999975
21418t,North Tokyo,2010-04-03,NA,NA,NA,39.97783333333305
21418t,North Tokyo,2010-04-04,NA,NA,NA,39.97172916666636
21418t,North Tokyo,2010-04-05,NA,NA,NA,39.98649999999976
21418t,North Tokyo,2010-04-06,NA,NA,NA,39.98827083333305
21418t,North Tokyo,2010-04-07,NA,NA,NA,39.967302083333074
21418t,North Tokyo,2010-04-08,NA,NA,NA,39.95063541666641
21418t,North Tokyo,2010-04-09,NA,NA,NA,39.96108333333306
21418t,North Tokyo,2010-04-10,NA,NA,NA,39.99782291666636
21418t,North Tokyo,2010-04-11,NA,NA,NA,40.03768749999973
21418t,North Tokyo,2010-04-12,NA,NA,NA,40.05706249999974
21418t,North Tokyo,2010-04-13,NA,NA,NA,40.07119791666637
21418t,North Tokyo,2010-04-14,NA,NA,NA,40.049535714285426
21418t,North Tokyo,2010-04-15,NA,NA,NA,40.07893749999974
21418t,North Tokyo,2010-04-16,NA,NA,NA,40.096364583333035
21418t,North Tokyo,2010-04-17,NA,NA,NA,39.909214285714015
21418t,North Tokyo,2010-04-18,NA,NA,NA,40.016899999999694
21418t,North Tokyo,2010-04-19,NA,NA,NA,39.99392708333304
21418t,North Tokyo,2010-04-20,NA,NA,NA,39.97461458333306
21418t,North Tokyo,2010-04-21,NA,NA,NA,39.94827083333302
21418t,North Tokyo,2010-04-22,NA,NA,NA,39.90506249999974
21418t,North Tokyo,2010-04-23,NA,NA,NA,39.88346874999976
21418t,North Tokyo,2010-04-24,NA,NA,NA,39.88306249999971
21418t,North Tokyo,2010-04-25,NA,NA,NA,39.90420833333305
21418t,North Tokyo,2010-04-26,NA,NA,NA,39.917437499999686
21418t,North Tokyo,2010-04-27,NA,NA,NA,39.93672916666634
21418t,North Tokyo,2010-04-28,NA,NA,NA,39.96709374999973
21418t,North Tokyo,2010-04-29,NA,NA,NA,39.96491666666642
21418t,North Tokyo,2010-04-30,NA,NA,NA,39.938729166666405
21418t,North Tokyo,2010-05-01,NA,NA,NA,39.911927083333076
21418t,North Tokyo,2010-05-02,NA,NA,NA,39.89684374999973
21418t,North Tokyo,2010-05-03,NA,NA,NA,39.88280208333297
21418t,North Tokyo,2010-05-04,NA,NA,NA,39.86865624999973
21418t,North Tokyo,2010-05-05,NA,NA,NA,39.833781249999724
21418t,North Tokyo,2010-05-06,NA,NA,NA,39.80979166666642
21418t,North Tokyo,2010-05-07,NA,NA,NA,39.797729166666365
21418t,North Tokyo,2010-05-08,NA,NA,NA,39.78576041666639
21418t,North Tokyo,2010-05-09,NA,NA,NA,39.7940833333331
21418t,North Tokyo,2010-05-10,NA,NA,NA,39.82198958333306
21418t,North Tokyo,2010-05-11,NA,NA,NA,39.84638541666641
21418t,North Tokyo,2010-05-12,NA,NA,NA,39.8679062499997
21418t,North Tokyo,2010-05-13,NA,NA,NA,39.86830208333305
21418t,North Tokyo,2010-05-14,NA,NA,NA,39.888437499999725
21418t,North Tokyo,2010-05-15,NA,NA,NA,39.92083333333303
21418t,North Tokyo,2010-05-16,NA,NA,NA,39.928677083333035
21418t,North Tokyo,2010-05-17,NA,NA,NA,39.92197916666638
21418t,North Tokyo,2010-05-18,NA,NA,NA,39.923499999999684
21418t,North Tokyo,2010-05-19,NA,NA,NA,39.899031249999695
21418t,North Tokyo,2010-05-20,NA,NA,NA,39.881677083333045
21418t,North Tokyo,2010-05-21,NA,NA,NA,39.87845833333305
21418t,North Tokyo,2010-05-22,NA,NA,NA,39.8913437499997
21418t,North Tokyo,2010-05-23,NA,NA,NA,39.91456249999973
21418t,North Tokyo,2010-05-24,NA,NA,NA,39.945822916666366
21418t,North Tokyo,2010-05-25,NA,NA,NA,39.97776041666639
21418t,North Tokyo,2010-05-26,NA,NA,NA,39.98682291666638
21418t,North Tokyo,2010-05-27,NA,NA,NA,39.99531249999972
21418t,North Tokyo,2010-05-28,NA,NA,NA,39.99128124999973
21418t,North Tokyo,2010-05-29,NA,NA,NA,39.9689791666664
21418t,North Tokyo,2010-05-30,NA,NA,NA,39.921124999999726
21418t,North Tokyo,2010-05-31,NA,NA,NA,39.88824999999974
21418t,North Tokyo,2010-06-01,NA,NA,NA,39.87199999999973
21418t,North Tokyo,2010-06-02,NA,NA,NA,39.865541666666445
21418t,North Tokyo,2010-06-03,NA,NA,NA,39.86988541666639
21418t,North Tokyo,2010-06-04,NA,NA,NA,39.862385416666335
21418t,North Tokyo,2010-06-05,NA,NA,NA,39.86907291666635
21418t,North Tokyo,2010-06-06,NA,NA,NA,39.888392857142584
21418t,North Tokyo,2010-06-07,NA,NA,NA,39.88277083333306
21418t,North Tokyo,2010-06-08,NA,NA,NA,39.87999999999969
21418t,North Tokyo,2010-06-09,NA,NA,NA,39.903802083333034
21418t,North Tokyo,2010-06-10,NA,NA,NA,39.92455208333305
21418t,North Tokyo,2010-06-11,NA,NA,NA,39.921677083333044
21418t,North Tokyo,2010-06-12,NA,NA,NA,39.94001041666641
21418t,North Tokyo,2010-06-13,NA,NA,NA,39.95577083333301
21418t,North Tokyo,2010-06-14,NA,NA,NA,39.954354166666405
21418t,North Tokyo,2010-06-15,NA,NA,NA,39.92534374999975
21418t,North Tokyo,2010-06-16,NA,NA,NA,39.89735416666638
21418t,North Tokyo,2010-06-17,NA,NA,NA,39.882229166666406
21418t,North Tokyo,2010-06-18,NA,NA,NA,39.865437499999736
21418t,North Tokyo,2010-06-19,NA,NA,NA,39.8574270833331
21418t,North Tokyo,2010-06-20,NA,NA,NA,39.85395833333313
21418t,North Tokyo,2010-06-21,NA,NA,NA,39.842510416666364
21418t,North Tokyo,2010-06-22,NA,NA,NA,39.847656249999716
21418t,North Tokyo,2010-06-23,NA,NA,NA,39.85940624999972
21418t,North Tokyo,2010-06-24,NA,NA,NA,39.87829166666638
21418t,North Tokyo,2010-06-25,NA,NA,NA,39.89363541666637
21418t,North Tokyo,2010-06-26,NA,NA,NA,39.89985416666633
21418t,North Tokyo,2010-06-27,NA,NA,NA,39.89845833333309
21418t,North Tokyo,2010-06-28,NA,NA,NA,39.892395833333104
21418t,North Tokyo,2010-06-29,NA,NA,NA,39.88495833333308
21418t,North Tokyo,2010-06-30,NA,NA,NA,39.87472916666638
21418t,North Tokyo,2010-07-01,NA,NA,NA,39.86878124999973
21418t,North Tokyo,2010-07-02,NA,NA,NA,39.85635416666642
21418t,North Tokyo,2010-07-03,NA,NA,NA,39.84601041666638
21418t,North Tokyo,2010-07-04,NA,NA,NA,39.8420312499997
21418t,North Tokyo,2010-07-05,NA,NA,NA,39.84793749999975
21418t,North Tokyo,2010-07-06,NA,NA,NA,39.86144791666636
21418t,North Tokyo,2010-07-07,NA,NA,NA,39.88131249999975
21418t,North Tokyo,2010-07-08,NA,NA,NA,39.8920624999997
21418t,North Tokyo,2010-07-09,NA,NA,NA,39.90536458333306
21418t,North Tokyo,2010-07-10,NA,NA,NA,39.92145833333305
21418t,North Tokyo,2010-07-11,NA,NA,NA,39.936760416666374
21418t,North Tokyo,2010-07-12,NA,NA,NA,39.93752083333305
21418t,North Tokyo,2010-07-13,NA,NA,NA,39.930635416666405
21418t,North Tokyo,2010-07-14,NA,NA,NA,39.91388541666643
21418t,North Tokyo,2010-07-15,NA,NA,NA,39.90309374999972
21418t,North Tokyo,2010-07-16,NA,NA,NA,39.89396874999974
21418t,North Tokyo,2010-07-17,NA,NA,NA,39.880406249999716
21418t,North Tokyo,2010-07-18,NA,NA,NA,39.88523958333305
21418t,North Tokyo,2010-07-19,NA,NA,NA,39.89948958333304
21418t,North Tokyo,2010-07-20,NA,NA,NA,39.90782291666638
21418t,North Tokyo,2010-07-21,NA,NA,NA,39.91592708333309
21418t,North Tokyo,2010-07-22,NA,NA,NA,39.928083333333085
21418t,North Tokyo,2010-07-23,NA,NA,NA,39.94022916666636
21418t,North Tokyo,2010-07-24,NA,NA,NA,39.95530208333309
21418t,North Tokyo,2010-07-25,NA,NA,NA,39.9544374999997
21418t,North Tokyo,2010-07-26,NA,NA,NA,39.95691666666639
21418t,North Tokyo,2010-07-27,NA,NA,NA,39.93658333333308
21418t,North Tokyo,2010-07-28,NA,NA,NA,39.92619791666642
21418t,North Tokyo,2010-07-29,NA,NA,NA,39.916854166666376
21418t,North Tokyo,2010-07-30,NA,NA,NA,39.89746739130411
21418t,North Tokyo,2010-07-31,NA,NA,NA,39.906010416666355
21418t,North Tokyo,2010-08-01,NA,NA,NA,39.923576086956245
21418t,North Tokyo,2010-08-02,NA,NA,NA,39.93282608695624
21418t,North Tokyo,2010-08-03,NA,NA,NA,39.94218749999974
21418t,North Tokyo,2010-08-04,NA,NA,NA,39.94565624999971
21418t,North Tokyo,2010-08-05,NA,NA,NA,39.95376041666639
21418t,North Tokyo,2010-08-06,NA,NA,NA,39.96956249999977
21418t,North Tokyo,2010-08-07,NA,NA,NA,39.98004166666641
21418t,North Tokyo,2010-08-08,NA,NA,NA,39.98079166666637
21418t,North Tokyo,2010-08-09,NA,NA,NA,39.97565624999972
21418t,North Tokyo,2010-08-10,NA,NA,NA,39.9639374999997
21418t,North Tokyo,2010-08-11,NA,NA,NA,39.938739583333046
21418t,North Tokyo,2010-08-12,NA,NA,NA,39.91684374999971
21418t,North Tokyo,2010-08-13,NA,NA,NA,39.905937499999744
21418t,North Tokyo,2010-08-14,NA,NA,NA,39.897687499999726
21418t,North Tokyo,2010-08-15,NA,NA,NA,39.92892045454516
21418t,North Tokyo,2010-08-16,NA,NA,NA,39.89753124999972
21418t,North Tokyo,2010-08-17,NA,NA,NA,39.913072916666444
21418t,North Tokyo,2010-08-18,NA,NA,NA,39.94030208333305
21418t,North Tokyo,2010-08-19,NA,NA,NA,39.95841666666637
21418t,North Tokyo,2010-08-20,NA,NA,NA,39.95442708333305
21418t,North Tokyo,2010-08-21,NA,NA,NA,39.95516666666643
21418t,North Tokyo,2010-08-22,NA,NA,NA,39.96857291666638
21418t,North Tokyo,2010-08-23,NA,NA,NA,39.96859374999972
21418t,North Tokyo,2010-08-24,NA,NA,NA,39.95668749999976
21418t,North Tokyo,2010-08-25,NA,NA,NA,39.923271739130186
21418t,North Tokyo,2010-08-26,NA,NA,NA,39.935364583333005
21418t,North Tokyo,2010-08-27,NA,NA,NA,39.92520833333304
21418t,North Tokyo,2010-08-28,NA,NA,NA,39.91040624999971
21418t,North Tokyo,2010-08-29,NA,NA,NA,39.89167708333307
21418t,North Tokyo,2010-08-30,NA,NA,NA,39.89315624999966
21418t,North Tokyo,2010-08-31,NA,NA,NA,39.91184374999974
21418t,North Tokyo,2010-09-01,NA,NA,NA,39.911072916666406
21418t,North Tokyo,2010-09-02,NA,NA,NA,39.9140416666664
21418t,North Tokyo,2010-09-03,NA,NA,NA,39.9237812499997
21418t,North Tokyo,2010-09-04,NA,NA,NA,39.92507291666636
21418t,North Tokyo,2010-09-05,NA,NA,NA,39.913343749999655
21418t,North Tokyo,2010-09-06,NA,NA,NA,39.89827083333307
21418t,North Tokyo,2010-09-07,NA,NA,NA,39.906187499999724
21418t,North Tokyo,2010-09-08,NA,NA,NA,39.89977083333301
21418t,North Tokyo,2010-09-09,NA,NA,NA,39.88368749999978
21418t,North Tokyo,2010-09-10,NA,NA,NA,39.88541666666638
21418t,North Tokyo,2010-09-11,NA,NA,NA,39.88816666666639
21418t,North Tokyo,2010-09-12,NA,NA,NA,39.88697916666635
21418t,North Tokyo,2010-09-13,NA,NA,NA,39.898374999999724
21418t,North Tokyo,2010-09-14,NA,NA,NA,39.89926041666639
21418t,North Tokyo,2010-09-15,NA,NA,NA,39.897208333333054
21418t,North Tokyo,2010-09-16,NA,NA,NA,39.89988541666634
21418t,North Tokyo,2010-09-17,NA,NA,NA,39.892864583333015
21418t,North Tokyo,2010-09-18,NA,NA,NA,39.87869791666636
21418t,North Tokyo,2010-09-19,NA,NA,NA,39.90123958333307
21418t,North Tokyo,2010-09-20,NA,NA,NA,39.908083333333074
21418t,North Tokyo,2010-09-21,NA,NA,NA,39.895937499999754
21418t,North Tokyo,2010-09-22,NA,NA,NA,39.89412499999972
21418t,North Tokyo,2010-09-23,NA,NA,NA,39.89983333333302
21418t,North Tokyo,2010-09-24,NA,NA,NA,39.905752688171745
21418t,North Tokyo,2010-09-25,NA,NA,NA,39.929388888888575
21418t,North Tokyo,2010-09-26,NA,NA,NA,39.82709999999973
21418t,North Tokyo,2010-09-27,NA,NA,NA,40.035014084506756
21418t,North Tokyo,2010-09-28,NA,NA,NA,39.899380952380646
21418t,North Tokyo,2010-09-29,NA,NA,NA,39.92317391304325
21418t,North Tokyo,2010-09-30,NA,NA,NA,39.923079545454286
21418t,North Tokyo,2010-10-01,NA,NA,NA,39.9356413043476
21418t,North Tokyo,2010-10-02,NA,NA,NA,39.94230434782577
21418t,North Tokyo,2010-10-03,NA,NA,NA,39.92061956521714
21418t,North Tokyo,2010-10-04,NA,NA,NA,39.91780208333305
21418t,North Tokyo,2010-10-05,NA,NA,NA,39.90715624999972
21418t,North Tokyo,2010-10-06,NA,NA,NA,39.89451041666637
21418t,North Tokyo,2010-10-07,NA,NA,NA,39.890447916666396
21418t,North Tokyo,2010-10-08,NA,NA,NA,39.873804347825775
21418t,North Tokyo,2010-10-09,NA,NA,NA,39.88827083333308
21418t,North Tokyo,2010-10-10,NA,NA,NA,39.90659374999972
21418t,North Tokyo,2010-10-11,NA,NA,NA,39.910166666666385
21418t,North Tokyo,2010-10-12,NA,NA,NA,39.90170833333304
21418t,North Tokyo,2010-10-13,NA,NA,NA,39.89607291666638
21418t,North Tokyo,2010-10-14,NA,NA,NA,39.898166666666434
21418t,North Tokyo,2010-10-15,NA,NA,NA,39.90026041666639
21418t,North Tokyo,2010-10-16,NA,NA,NA,39.89397916666635
21418t,North Tokyo,2010-10-17,NA,NA,NA,39.89652083333301
21418t,North Tokyo,2010-10-18,NA,NA,NA,39.91188095238067
21418t,North Tokyo,2010-10-19,NA,NA,NA,39.9227777777775
21418t,North Tokyo,2010-10-20,NA,NA,NA,39.90023076923049
21418t,North Tokyo,2010-10-21,NA,NA,NA,39.89397530864168
21418t,North Tokyo,2010-10-22,NA,NA,NA,39.813589743589475
21418t,North Tokyo,2010-10-23,NA,NA,NA,39.842723684210235
21418t,North Tokyo,2010-10-24,NA,NA,NA,39.87777528089858
21418t,North Tokyo,2010-10-25,NA,NA,NA,39.82825490196052
21418t,North Tokyo,2010-10-26,NA,NA,NA,39.86618749999974
21418t,North Tokyo,2010-10-27,NA,NA,NA,39.80979166666638
21418t,North Tokyo,2010-10-28,NA,NA,NA,39.915124999999705
21418t,North Tokyo,2010-10-29,NA,NA,NA,39.91917708333309
21418t,North Tokyo,2010-10-30,NA,NA,NA,39.92899999999975
21418t,North Tokyo,2010-10-31,NA,NA,NA,39.89264705882327
21418t,North Tokyo,2010-11-01,NA,NA,NA,39.95991666666641
21418t,North Tokyo,2010-11-02,NA,NA,NA,40.00353409090882
21418t,North Tokyo,2010-11-03,NA,NA,NA,39.996569444444226
21418t,North Tokyo,2010-11-04,NA,NA,NA,39.99194805194777
21418t,North Tokyo,2010-11-05,NA,NA,NA,39.85329687499977
21418t,North Tokyo,2010-11-06,NA,NA,NA,39.97079999999977
21418t,North Tokyo,2010-11-07,NA,NA,NA,40.10586666666638
21418t,North Tokyo,2010-11-08,NA,NA,NA,39.81599999999967
21418t,North Tokyo,2010-11-09,NA,NA,NA,39.85374999999972
21418t,North Tokyo,2010-11-10,NA,NA,NA,39.96629090909069
21418t,North Tokyo,2010-11-11,NA,NA,NA,39.89879999999969
21418t,North Tokyo,2010-11-12,NA,NA,NA,39.89101190476165
21418t,North Tokyo,2010-11-13,NA,NA,NA,39.907270833333115
21418t,North Tokyo,2010-11-14,NA,NA,NA,39.89534374999969
21418t,North Tokyo,2010-11-15,NA,NA,NA,39.88162499999973
21418t,North Tokyo,2010-11-16,NA,NA,NA,39.87246874999975
21418t,North Tokyo,2010-11-17,NA,NA,NA,39.86870833333307
21418t,North Tokyo,2010-11-18,NA,NA,NA,39.88101041666644
21418t,North Tokyo,2010-11-19,NA,NA,NA,39.873187499999716
21418t,North Tokyo,2010-11-20,NA,NA,NA,39.86923958333307
21418t,North Tokyo,2010-11-21,NA,NA,NA,39.87742708333303
21418t,North Tokyo,2010-11-22,NA,NA,NA,39.89443749999972
21418t,North Tokyo,2010-11-23,NA,NA,NA,39.926217391304085
21418t,North Tokyo,2010-11-24,NA,NA,NA,39.90296874999973
21418t,North Tokyo,2010-11-25,NA,NA,NA,39.9155104166664
21418t,North Tokyo,2010-11-26,NA,NA,NA,39.93780208333306
21418t,North Tokyo,2010-11-27,NA,NA,NA,39.93334374999972
21418t,North Tokyo,2010-11-28,NA,NA,NA,39.93611458333307
21418t,North Tokyo,2010-11-29,NA,NA,NA,39.94269791666639
21418t,North Tokyo,2010-11-30,NA,NA,NA,39.954315217391034
21418t,North Tokyo,2010-12-01,NA,NA,NA,39.955434782608414
21418t,North Tokyo,2010-12-02,NA,NA,NA,39.90870833333307
21418t,North Tokyo,2010-12-03,NA,NA,NA,39.944157894736556
21418t,North Tokyo,2010-12-04,NA,NA,NA,39.63872222222191
21418t,North Tokyo,2010-12-05,NA,NA,NA,39.88341379310317
21418t,North Tokyo,2010-12-06,NA,NA,NA,39.94014285714256
21418t,North Tokyo,2010-12-07,NA,NA,NA,39.84545454545424
21418t,North Tokyo,2010-12-08,NA,NA,NA,39.73836842105237
21418t,North Tokyo,2010-12-09,NA,NA,NA,39.81982608695621
21418t,North Tokyo,2010-12-10,NA,NA,NA,39.84657291666639
21418t,North Tokyo,2010-12-11,NA,NA,NA,39.880458333333074
21418t,North Tokyo,2010-12-12,NA,NA,NA,39.90633333333304
21418t,North Tokyo,2010-12-13,NA,NA,NA,39.91972413793076
21418t,North Tokyo,2010-12-14,NA,NA,NA,39.935076086956244
21418t,North Tokyo,2010-12-15,NA,NA,NA,39.924284090908856
21418t,North Tokyo,2010-12-16,NA,NA,NA,39.94193421052609
21418t,North Tokyo,2010-12-17,NA,NA,NA,39.87641666666637
21418t,North Tokyo,2010-12-18,NA,NA,NA,39.89454166666635
21418t,North Tokyo,2010-12-19,NA,NA,NA,39.88135416666638
21418t,North Tokyo,2010-12-20,NA,NA,NA,39.89780208333304
21418t,North Tokyo,2010-12-21,NA,NA,NA,39.84742647058794
21418t,North Tokyo,2010-12-22,NA,NA,NA,39.94567045454517
21418t,North Tokyo,2010-12-23,NA,NA,NA,39.85931249999973
21418t,North Tokyo,2010-12-24,NA,NA,NA,39.83993478260843
21418t,North Tokyo,2010-12-25,NA,NA,NA,39.87112499999977
21418t,North Tokyo,2010-12-26,NA,NA,NA,39.87740624999973
21418t,North Tokyo,2010-12-27,NA,NA,NA,39.8825520833331
21418t,North Tokyo,2010-12-28,NA,NA,NA,39.88108333333303
21418t,North Tokyo,2010-12-29,NA,NA,NA,39.8541770833331
21418t,North Tokyo,2010-12-30,NA,NA,NA,39.809989130434516
21418t,North Tokyo,2010-12-31,NA,NA,NA,39.81579166666643
21418t,North Tokyo,2011-01-01,NA,NA,NA,39.779812499999714
21418t,North Tokyo,2011-01-02,NA,NA,NA,39.80524999999974
21418t,North Tokyo,2011-01-03,NA,NA,NA,39.8545416666664
21418t,North Tokyo,2011-01-04,NA,NA,NA,39.897749999999775
21418t,North Tokyo,2011-01-05,NA,NA,NA,39.927416666666424
21418t,North Tokyo,2011-01-06,NA,NA,NA,39.928385416666366
21418t,North Tokyo,2011-01-07,NA,NA,NA,39.9261666666664
21418t,North Tokyo,2011-01-08,NA,NA,NA,39.927687499999735
21418t,North Tokyo,2011-01-09,NA,NA,NA,39.90841666666632
21418t,North Tokyo,2011-01-10,NA,NA,NA,39.883031249999725
21418t,North Tokyo,2011-01-11,NA,NA,NA,39.84485416666637
21418t,North Tokyo,2011-01-12,NA,NA,NA,39.83066666666644
21418t,North Tokyo,2011-01-13,NA,NA,NA,39.7976354166664
21418t,North Tokyo,2011-01-14,NA,NA,NA,39.78233333333307
21418t,North Tokyo,2011-01-15,NA,NA,NA,39.782843749999756
21418t,North Tokyo,2011-01-16,NA,NA,NA,39.77615624999972
21418t,North Tokyo,2011-01-17,NA,NA,NA,39.77534374999968
21418t,North Tokyo,2011-01-18,NA,NA,NA,39.76304166666642
21418t,North Tokyo,2011-01-19,NA,NA,NA,39.78567708333302
21418t,North Tokyo,2011-01-20,NA,NA,NA,39.80968749999972
21418t,North Tokyo,2011-01-21,NA,NA,NA,39.83071874999973
21418t,North Tokyo,2011-01-22,NA,NA,NA,39.84065624999972
21418t,North Tokyo,2011-01-23,NA,NA,NA,39.821072916666395
21418t,North Tokyo,2011-01-24,NA,NA,NA,39.82740624999973
21418t,North Tokyo,2011-01-25,NA,NA,NA,39.823749999999684
21418t,North Tokyo,2011-01-26,NA,NA,NA,39.79994791666638
21418t,North Tokyo,2011-01-27,NA,NA,NA,39.78455208333309
21418t,North Tokyo,2011-01-28,NA,NA,NA,39.77956249999976
21418t,North Tokyo,2011-01-29,NA,NA,NA,39.78153124999977
21418t,North Tokyo,2011-01-30,NA,NA,NA,39.79388541666635
21418t,North Tokyo,2011-01-31,NA,NA,NA,39.80060416666641
21418t,North Tokyo,2011-02-01,NA,NA,NA,39.81681249999968
